Cuenta;Valor;Tipo mov.
209;Anticipos para inmov intang;Mayor
2090;Anticipos para inmov intang;Mayor
209000001;Anticipos para inmov intang;Auxiliar
21;Inmovilizaciones materiales;Mayor
210;Terrenos y bienes naturales;Mayor
2100;Terrenos y bienes naturales;Mayor
210000001;Terrenos y bienes naturales;Auxiliar
211;Construcciones;Mayor
2110;Construcciones;Mayor
211000001;Construcciones;Auxiliar
212;Instalaciones técnicas;Mayor
2120;Instalaciones técnicas;Mayor
212000001;Instalaciones técnicas;Auxiliar
213;Maquinaria;Mayor
2130;Maquinaria;Mayor
213000001;Maquinaria;Auxiliar
214;Utillaje;Mayor
2140;Utillaje;Mayor
214000001;Utillaje;Auxiliar
215;Otras instalaciones;Mayor
2150;Otras instalaciones;Mayor
215000001;Otras instalaciones;Auxiliar
216;Mobiliario;Mayor
2160;Mobiliario;Mayor
216000001;Mobiliario;Auxiliar
217;Equipos procesos información;Mayor
2170;Equipos procesos información;Mayor
217000001;Equipos procesos información;Auxiliar
218;Elementos de transporte;Mayor
2180;Elementos de transporte;Mayor
218000001;Elementos de transporte;Auxiliar
219;Otro inmovilizado material;Mayor
2190;Otro inmovilizado material;Mayor
219000001;Otro inmovilizado material;Auxiliar
22;Inversiones inmobiliarias;Mayor
220;Inv. terrenos y b. naturales;Mayor
2200;Inv. terrenos y b. naturales;Mayor
220000001;Inv. terrenos y b. naturales;Auxiliar
221;Inv. Construcciones;Mayor
23;Inmov. materiales en curso;Mayor
230;Adapt. terrenos y bienes nat.;Mayor
2300;Adapt. terrenos y bienes nat.;Mayor
230000001;Adapt. terrenos y bienes nat.;Auxiliar
231;Construcciones en curso;Mayor
2310;Construcciones en curso;Mayor
231000001;Construcciones en curso;Auxiliar
232;Inst. téc. en montaje;Mayor
2320;Inst. téc. en montaje;Mayor
232000001;Inst. téc. en montaje;Auxiliar
233;Maquinaria en montaje;Mayor
235;Otras instalac. en curso;Mayor
2350;Otras instalac. en curso;Mayor
235000001;Otras instalac. en curso;Auxiliar
237;Eq. proc. informac. en montaje;Mayor
239;Anticipos inmoviliz materiales;Mayor
2390;Anticipos inmoviliz materiales;Mayor
239000001;Anticipos inmoviliz materiales;Auxiliar
24;Inversiones financ partes vinc;Mayor
240;Participaciones LP partes vinc;Mayor
2403;Participaciones LP emp grupo;Mayor
240300001;Participaciones LP emp grupo;Auxiliar
2404;Participaciones LP emp asoc;Mayor
240400001;Participaciones LP emp asoc;Auxiliar
2405;Particip. LP otras partes vinc;Mayor
240500001;Particip. LP otras partes vinc;Auxiliar
241;Valores rep deuda LP part vinc;Mayor
2413;Valores rep deuda LP, emp gr;Mayor
241300001;Valores rep deuda LP, emp gr;Auxiliar
2414;Valores rep deuda LP, emp asoc;Mayor
241400001;Valores rep deuda LP, emp asoc;Auxiliar
2415;Valores rep deuda LP,otr p vin;Mayor
241500001;Valores rep deuda LP,otr p vin;Auxiliar
242;Créditos LP a partes vinc;Mayor
2420;Créditos LP Op. Vinc;Mayor
242000001;Créditos LP Op. Vinc;Auxiliar
2423;Créditos a LP a emp grupo;Mayor
242300001;Créditos a LP a emp grupo;Auxiliar
2424;Créditos a LP a emp asoc;Mayor
242400001;Créditos a LP a emp asoc;Auxiliar
2425;Créditos a LP a otras p vinc;Mayor
242500001;Créditos a LP a otras p vinc;Auxiliar
249;Desembolsos ptes participac LP;Mayor
2493;Desemb. ptes part LP en emp gr;Mayor
249300001;Desemb. ptes part LP en emp gr;Auxiliar
2494;Desemb. ptes part LP en emp as;Mayor
249400001;Desemb. ptes part LP en emp as;Auxiliar
2495;Desemb. ptes part LP otr p vin;Mayor
249500001;Desemb. ptes part LP otr p vin;Auxiliar
25;Otras inversiones fin. LP;Mayor
250;Invers. fin. LP en inst patrim;Mayor
251;Valores rep deuda a LP;Mayor
2510;Valores rep deuda a LP;Mayor
251000001;Valores rep deuda a LP;Auxiliar
252;Créditos a largo plazo;Mayor
253;Créditos enajenación inmov.;Mayor
2530;Créditos enajenación inmov.;Mayor
253000001;Créditos enajenación inmov.;Auxiliar
254;Créditos LP al personal;Mayor
255;Activos por derivados fin a LP;Mayor
2550;Act. der. fin. LP, cartera neg;Mayor
255000001;Act. der. fin. LP, cartera neg;Auxiliar
2553;Act. der. fin. LP, inst. cob;Mayor
255300001;Act. der. fin. LP, inst. cob;Auxiliar
257;Der reemb cont seg ret LP pers;Mayor
258;Imposiciones a largo plazo;Mayor
2580;Imposiciones a largo plazo;Mayor
258000001;Imposiciones a largo plazo;Auxiliar
259;Desemb ptes sobre part pn LP;Mayor
26;Fianzas y depósitos a LP;Mayor
260;Fianzas constituidas LP;Mayor
2600;Fianzas constituidas LP;Mayor
260000001;Fianzas constituidas LP;Auxiliar
265;Depósitos constituidos LP;Mayor
28;Amortización acumulada inmov.;Mayor
280;Amortización inmov. intangible;Mayor
2800;Amort. ac. investigación;Mayor
280000001;Amort. ac. investigación;Auxiliar
2801;Amort. ac. Desarrollo;Mayor
280100001;Amort. ac. Desarrollo;Auxiliar
2802;Amort. ac. conces. administr.;Mayor
280200001;Amort. ac. conces. administr.;Auxiliar
2803;Amort ac. prop industrial;Mayor
280300001;Amort ac. prop industrial;Auxiliar
2805;Amort. ac. derechos traspaso;Mayor
280500001;Amort. ac. derechos traspaso;Auxiliar
2806;Amort. ac. aplicac. informátic;Mayor
280600001;Amort. ac. aplicac. informátic;Auxiliar
281;Amortización inmov. material;Mayor
2810;Amortización inmov. material;Mayor
281000001;Amortización inmov. material;Auxiliar
2811;Amort. ac. construcciones;Mayor
281100001;Amort. ac. construcciones;Auxiliar
2812;Amort. ac. instalac técnicas;Mayor
281200001;Amort. ac. instalac técnicas;Auxiliar
2813;Amort. ac. maquinaria;Mayor
281300001;Amort. ac. maquinaria;Auxiliar
2814;Amort. ac. utillaje;Mayor
281400001;Amort. ac. utillaje;Auxiliar
2815;Amort. ac. otras instalaciones;Mayor
281500001;Amort. ac. otras instalaciones;Auxiliar
2816;Amort. ac. mobiliario;Mayor
281600001;Amort. ac. mobiliario;Auxiliar
2817;Amort. ac. equipos proc inform;Mayor
281700001;Amort. ac. equipos proc inform;Auxiliar
2818;Amort. ac. eltos transport;Mayor
281800001;Amort. ac. eltos transport;Auxiliar
2819;Amort. ac. otro inmov material;Mayor
281900001;Amort. ac. otro inmov material;Auxiliar
282;Amort. ac. inv. inmobiliarias;Mayor
2820;Amort. ac. inv. inmobiliarias;Mayor
282000001;Amort. ac. inv. inmobiliarias;Auxiliar
29;Deterioro valor inmovilizado;Mayor
290;Deterioro valor inmov. intang.;Mayor
2900;Det valor gastos Investigación;Mayor
290000001;Det valor gastos Investigación;Auxiliar
2901;Det valor gastos Desarrollo;Mayor
290100001;Det valor gastos Desarrollo;Auxiliar
2902;Det. valor conces. admin.;Mayor
290200001;Det. valor conces. admin.;Auxiliar
2903;Det. valor prop. industrial;Mayor
290300001;Det. valor prop. industrial;Auxiliar
2905;Det. valor derechos traspaso;Mayor
290500001;Det. valor derechos traspaso;Auxiliar
2906;Det. valor aplicac. informátic;Mayor
290600001;Det. valor aplicac. informátic;Auxiliar
291;Deterioro valor inmov material;Mayor
2910;Det val terrenos y bienes nat;Mayor
291000001;Det val terrenos y bienes nat;Auxiliar
2911;Det. valor construcciones;Mayor
291100001;Det. valor construcciones;Auxiliar
2912;Det. valor inst. técnicas;Mayor
291200001;Det. valor inst. técnicas;Auxiliar
2913;Det. valor maquinaria;Mayor
291300001;Det. valor maquinaria;Auxiliar
2914;Det. valor utillaje;Mayor
291400001;Det. valor utillaje;Auxiliar
2915;Det. valor otras inst.;Mayor
291500001;Det. valor otras inst.;Auxiliar
2916;Det. valor mobiliario;Mayor
291600001;Det. valor mobiliario;Auxiliar
2917;Det. valor equipos proc. inf.;Mayor
291700001;Det. valor equipos proc. inf.;Auxiliar
2918;Det. valor eltos transporte;Mayor
291800001;Det. valor eltos transporte;Auxiliar
2919;Det. valor otro inmov material;Mayor
291900001;Det. valor otro inmov material;Auxiliar
292;Det valor inversiones inmobili;Mayor
2920;Det val terrenos y bienes nat;Mayor
292000001;Det val terrenos y bienes nat;Auxiliar
2921;Det valor construcciones;Mayor
292100001;Det valor construcciones;Auxiliar
293;Det valor part a LP en p. vinc;Mayor
2930;Det valor part a LP en p. vinc;Mayor
293000001;Det valor part a LP en p. vinc;Auxiliar
2933;Det valor part. LP en emp gr;Mayor
293300001;Det valor part. LP en emp gr;Auxiliar
2934;Det valor part. LP en emp asoc;Mayor
293400001;Det valor part. LP en emp asoc;Auxiliar
294;Det valores deuda LP de p vin;Mayor
2943;Det val. deuda LP emp gr;Mayor
294300001;Det val. deuda LP emp gr;Auxiliar
2944;Det val. deuda LP emp asoc;Mayor
294400001;Det val. deuda LP emp asoc;Auxiliar
2945;Det val. deuda LP otras vinc;Mayor
294500001;Det val. deuda LP otras vinc;Auxiliar
295;Det. valor créditos LP a p vin;Mayor
2953;Det. valor créd. LP a emp gr;Mayor
295300001;Det. valor créd. LP a emp gr;Auxiliar
2954;Det. valor créd. LP a emp asoc;Mayor
295400001;Det. valor créd. LP a emp asoc;Auxiliar
2955;Det. valor créd. LP a otr. vin;Mayor
295500001;Det. valor créd. LP a otr. vin;Auxiliar
297;Det valor valores deuda LP;Mayor
298;Det valor créditos a LP;Mayor
3;Existencias;Mayor
30;Comerciales;Mayor
300;Mercaderías;Mayor
3000;Mercaderías;Mayor
300000001;Mercaderías;Auxiliar
31;Materias primas;Mayor
310;Materias primas;Mayor
3100;Materias primas;Mayor
310000001;Materias primas;Auxiliar
32;Otros aprovisionamientos;Mayor
320;Eltos y conjuntos incorporable;Mayor
321;Combustibles;Mayor
3210;Combustibles;Mayor
321000001;Combustibles;Auxiliar
322;Repuestos;Mayor
3220;Repuestos;Mayor
322000001;Repuestos;Auxiliar
325;Materiales diversos;Mayor
326;Embalajes;Mayor
327;Envases;Mayor
3270;EXISTENCIAS ENVASES;Mayor
327000001;EXISTENCIAS ENVASES;Auxiliar
328;Material oficina;Mayor
33;Productos en curso;Mayor
330;Productos en curso;Mayor
34;Productos semiterminados;Mayor
340;Productos semiterminados;Mayor
35;Productos terminados;Mayor
350;Productos terminados;Mayor
36;Subproductos/resid./mat. rec.;Mayor
360;Subproductos;Mayor
365;Residuos;Mayor
368;Materiales recuperados;Mayor
39;Deterioro valor existencias;Mayor
390;Det. valor mercaderías;Mayor
391;Det. valor materias primas;Mayor
392;Det. valor otros aprovisionam.;Mayor
393;Det. valor productos en curso;Mayor
394;Det. valor prod. semiterm.;Mayor
395;Det. valor prod. terminados;Mayor
396;Det. val. subprod, resid y m.r;Mayor
4;ACREEDORES Y DEUDORES;Mayor
40;Proveedores;Mayor
400;Proveedores;Mayor
4000;Proveedores nacionales;Mayor
400000003;AGR*N *;Auxiliar
400000004;DIN*RA*;Auxiliar
400000005;AFF*PE*;Auxiliar
400000008;HIS*IP*;Auxiliar
400000014;A.B*MP*;Auxiliar
400000017;HER*VE*;Auxiliar
400000018;LAB*IO*;Auxiliar
400000019;EUR*ET*;Auxiliar
400000020;AGR*AN*;Auxiliar
400000021;ASI*RV*;Auxiliar
400000022;EUR*E *;Auxiliar
400000023;HYG*MA*;Auxiliar
400000024;ALM*.L*;Auxiliar
400000025;ALA* S*;Auxiliar
400000100;ARG*OD*;Auxiliar
400000102;ARG*L*;Auxiliar
400000103;AVI*.C*;Auxiliar
400000106;AZA**;Auxiliar
400000110;AND*S.*;Auxiliar
400000111;GON*BA*;Auxiliar
400000112;AGU*GO*;Auxiliar
400000113;LAB*IO*;Auxiliar
400000114;FER*AL*;Auxiliar
400000115;AVI*.L*;Auxiliar
400000116;AIS*TO*;Auxiliar
400000119;COL*.L*;Auxiliar
400000121;ALP**;Auxiliar
400000122;ANA* V*;Auxiliar
400000125;ARI*IL*;Auxiliar
400000126;ARC*IN*;Auxiliar
400000127;AUT* G*;Auxiliar
400000131;ATISAE;Auxiliar
400000132;AGR*.L*;Auxiliar
400000133;AND*NT*;Auxiliar
400000135;AEM**;Auxiliar
400000138;AYU*NT*;Auxiliar
400000139;AQU*ES*;Auxiliar
400000140;DOM*DE*;Auxiliar
400000141;AÑU*A.*;Auxiliar
400000142;AGR*RI*;Auxiliar
400000143;ADE*T.*;Auxiliar
400000144;ALU* Z*;Auxiliar
400000145;ASO*.C*;Auxiliar
400000146;AND*ÑA*;Auxiliar
400000147;ASO*GA*;Auxiliar
400000148;AQQ*TO*;Auxiliar
400000149;ALB*EL*;Auxiliar
400000150;AGR*JE*;Auxiliar
400000151;A&B*DE*;Auxiliar
400000152;ASE*A*;Auxiliar
400000153;ALC*.L*;Auxiliar
400000154;AIG*AÑ*;Auxiliar
400000155;ANA**;Auxiliar
400000156;ASE*TE*;Auxiliar
400000157;ART* R*;Auxiliar
400000158;AGR*VE*;Auxiliar
400000159;AVI*.L*;Auxiliar
400000161;ARV*VI*;Auxiliar
400000162;ARC*RO*;Auxiliar
400000163;ANI*T.*;Auxiliar
400000164;ALI* D*;Auxiliar
400000165;ALB*M*;Auxiliar
400000166;AMV**;Auxiliar
400000167;ANA*GE*;Auxiliar
400000168;AUP*L.*;Auxiliar
400000169;ARE* S*;Auxiliar
400000170;AGR**;Auxiliar
400000171;ACR*Y *;Auxiliar
400000172;EL *UI*;Auxiliar
400000173;EL * E*;Auxiliar
400000174;ANI* I*;Auxiliar
400000175;AXE*NO*;Auxiliar
400000176;ANI* I*;Auxiliar
400000177;ALB*TZ*;Auxiliar
400000178;AGR*VA*;Auxiliar
400000179;IND*S *;Auxiliar
400000180;ANE**;Auxiliar
400000181;ARE*ER*;Auxiliar
400000182;ADS*AF*;Auxiliar
400000183;ADS*CA*;Auxiliar
400000184;ALJ*S.*;Auxiliar
400000185;ANV**;Auxiliar
400000186;AGR*O *;Auxiliar
400000187;ABA*IL*;Auxiliar
400000188;AVE**;Auxiliar
400000189;ANG*CI*;Auxiliar
400000190;ANT* T*;Auxiliar
400000191;AMA* S*;Auxiliar
400000192;AVI* G*;Auxiliar
400000193;AUD*LA*;Auxiliar
400000201;BOE*R *;Auxiliar
400000203;BAY*PA*;Auxiliar
400000204;QUI*A *;Auxiliar
400000206;BIO* S*;Auxiliar
400000208;BUR*RI*;Auxiliar
400000209;BIO*DE*;Auxiliar
400000210;BIN*.A*;Auxiliar
400000212;BUQ*S.*;Auxiliar
400000213;B.S*L.*;Auxiliar
400000214;BBV*IN*;Auxiliar
400000215;BLA*NC*;Auxiliar
400000216;BED*PA*;Auxiliar
